GENE	G_arboreum%G_a_rep1	G_arboreum%G_a_rep2	G_arboreum_x_raimondii%G_HH_rep1	G_arboreum_x_raimondii%G_HH_rep2	G_raimondii%G_r_rep1	G_raimondii%G_r_rep2
lcl|NC_030672.1_cds_XP_017649468.1_30127	34	24	26	17	37	29
lcl|NC_030672.1_cds_XP_017648106.1_30128	8	0	16	7	22	28
lcl|NC_030672.1_cds_XP_017648107.1_30129	1	1	0	1	0	0
lcl|NC_030672.1_cds_XP_017647032.1_30130	6	1	3	1	4	0
lcl|NC_030672.1_cds_XP_017646543.1_30132	20	16	5	5	1	0
lcl|NC_030672.1_cds_XP_017648786.1_30142	103	53	102	109	104	87
lcl|NC_030672.1_cds_XP_017648787.1_30143	22	12	8	3	2	3
lcl|NC_030672.1_cds_XP_017648775.1_30147	140	80	143	106	217	185
lcl|NC_030672.1_cds_XP_017648785.1_30155	3	4	5	1	5	4
lcl|NC_030672.1_cds_XP_017648470.1_30156	29	22	49	26	26	39
lcl|NC_030672.1_cds_XP_017646946.1_30158	627	467	669	568	620	339
lcl|NC_030672.1_cds_XP_017649377.1_30162	185	129	216	177	237	144
lcl|NC_030672.1_cds_XP_017649371.1_30164	287	136	348	251	255	203
lcl|NC_030672.1_cds_XP_017647216.1_30168	183	146	781	535	157	98
lcl|NC_030672.1_cds_XP_017649412.1_30169	112	81	115	134	55	33
lcl|NC_030673.1_cds_XP_017604092.1_30170	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605897.1_30171	0	2	0	1	1	2
lcl|NC_030673.1_cds_XP_017604094.1_30172	3	0	0	1	0	0
lcl|NC_030673.1_cds_XP_017603100.1_30173	56	21	37	52	50	41
lcl|NC_030673.1_cds_XP_017607258.1_30174	386	196	447	433	459	293
lcl|NC_030673.1_cds_XP_017605984.1_30175	0	1	0	0	0	0
lcl|NC_030673.1_cds_XP_017605503.1_30176	30	16	14	12	13	11
lcl|NC_030673.1_cds_XP_017603376.1_30177	119	72	159	115	136	106
lcl|NC_030673.1_cds_XP_017605209.1_30178	37	14	13	17	24	32
lcl|NC_030673.1_cds_XP_017605579.1_30179	12	11	8	11	5	6
lcl|NC_030673.1_cds_XP_017607486.1_30180	250	95	284	248	251	187
lcl|NC_030673.1_cds_XP_017607016.1_30182	354	239	149	201	659	357
lcl|NC_030673.1_cds_XP_017605252.1_30183	10	1	38	11	14	12
lcl|NC_030673.1_cds_XP_017603532.1_30184	95	65	81	98	116	68
lcl|NC_030673.1_cds_XP_017650223.1_30185	349	207	318	898	160	100
lcl|NC_030673.1_cds_XP_017605928.1_30186	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604035.1_30187	84	43	38	30	24	19
lcl|NC_030673.1_cds_XP_017607646.1_30188	345	247	303	184	434	342
lcl|NC_030673.1_cds_XP_017606038.1_30190	10	17	65	14	6	0
lcl|NC_030673.1_cds_XP_017606837.1_30191	474	288	517	417	614	363
lcl|NC_030673.1_cds_XP_017606838.1_30192	1	2	3	2	4	4
lcl|NC_030673.1_cds_XP_017604095.1_30193	222	180	133	134	123	78
lcl|NC_030673.1_cds_XP_017604096.1_30194	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017604097.1_30196	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604098.1_30197	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017604100.1_30198	1	0	58	20	71	68
lcl|NC_030673.1_cds_XP_017606941.1_30199	525	366	645	386	447	272
lcl|NC_030673.1_cds_XP_017607621.1_30200	90	54	75	86	54	30
lcl|NC_030673.1_cds_XP_017607713.1_30203	499	310	315	326	343	202
lcl|NC_030673.1_cds_XP_017604101.1_30204	2	1	1	0	0	0
lcl|NC_030673.1_cds_XP_017603120.1_30205	59	44	64	71	47	39
lcl|NC_030673.1_cds_XP_017607265.1_30206	374	233	798	492	1102	646
lcl|NC_030673.1_cds_XP_017603236.1_30207	17	10	30	13	31	20
lcl|NC_030673.1_cds_XP_017602841.1_30208	129	110	132	190	73	31
lcl|NC_030673.1_cds_XP_017605483.1_30209	6	2	19	2	0	0
lcl|NC_030673.1_cds_XP_017605482.1_30210	9	2	20	2	0	1
lcl|NC_030673.1_cds_XP_017605619.1_30211	4	10	8	3	3	0
lcl|NC_030673.1_cds_XP_017606712.1_30212	699	517	764	547	625	433
lcl|NC_030673.1_cds_XP_017607720.1_30213	178	118	189	191	156	71
lcl|NC_030673.1_cds_XP_017607721.1_30214	4	2	4	0	1	0
lcl|NC_030673.1_cds_XP_017603923.1_30215	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603922.1_30216	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604103.1_30217	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604104.1_30218	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603417.1_30219	72	29	67	54	68	47
lcl|NC_030673.1_cds_XP_017605283.1_30220	26	27	24	24	5	2
lcl|NC_030673.1_cds_XP_017605449.1_30221	9	4	19	5	5	4
lcl|NC_030673.1_cds_XP_017650217.1_30222	240	140	240	222	497	336
lcl|NC_030673.1_cds_XP_017605300.1_30223	21	20	25	15	42	36
lcl|NC_030673.1_cds_XP_017607045.1_30224	461	313	598	342	390	272
lcl|NC_030673.1_cds_XP_017607722.1_30227	13	10	0	0	2	2
lcl|NC_030673.1_cds_XP_017607724.1_30229	324	219	342	318	264	171
lcl|NC_030673.1_cds_XP_017603767.1_30230	118	81	118	103	39	27
lcl|NC_030673.1_cds_XP_017605587.1_30231	14	6	16	10	12	6
lcl|NC_030673.1_cds_XP_017605022.1_30232	978	820	436	359	1160	699
lcl|NC_030673.1_cds_XP_017650014.1_30233	197	131	196	188	193	148
lcl|NC_030673.1_cds_XP_017605705.1_30234	0	2	0	0	0	0
lcl|NC_030673.1_cds_XP_017603051.1_30235	256	148	95	85	317	175
lcl|NC_030673.1_cds_XP_017604105.1_30236	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603052.1_30237	9	8	17	21	5	1
lcl|NC_030673.1_cds_XP_017605118.1_30238	31	26	44	29	35	21
lcl|NC_030673.1_cds_XP_017605475.1_30239	30	8	8	15	13	9
lcl|NC_030673.1_cds_XP_017603803.1_30240	10	8	10	11	10	8
lcl|NC_030673.1_cds_XP_017602944.1_30241	2569	1724	3523	2392	2830	1602
lcl|NC_030673.1_cds_XP_017605831.1_30243	1676	1057	1681	902	1735	1468
lcl|NC_030673.1_cds_XP_017607307.1_30245	259	160	232	210	354	223
lcl|NC_030673.1_cds_XP_017603628.1_30246	97	66	103	63	133	95
lcl|NC_030673.1_cds_XP_017603366.1_30247	104	87	114	46	96	60
lcl|NC_030673.1_cds_XP_017650190.1_30248	0	0	0	1	0	0
lcl|NC_030673.1_cds_XP_017607469.1_30249	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603232.1_30250	275	164	246	263	212	134
lcl|NC_030673.1_cds_XP_017605767.1_30251	2	0	1	5	4	7
lcl|NC_030673.1_cds_XP_017604106.1_30252	0	1	0	0	0	0
lcl|NC_030673.1_cds_XP_017605856.1_30253	0	1	2	4	2	2
lcl|NC_030673.1_cds_XP_017605855.1_30254	4	3	1	3	5	1
lcl|NC_030673.1_cds_XP_017604108.1_30255	2	2	0	0	5	1
lcl|NC_030673.1_cds_XP_017605934.1_30256	11	5	14	15	18	8
lcl|NC_030673.1_cds_XP_017605945.1_30258	1	2	5	0	1	3
lcl|NC_030673.1_cds_XP_017650090.1_30259	84	73	243	188	115	107
lcl|NC_030673.1_cds_XP_017603754.1_30262	46	34	12	18	23	19
lcl|NC_030673.1_cds_XP_017604110.1_30264	12	5	11	15	37	30
lcl|NC_030673.1_cds_XP_017605718.1_30265	0	0	88	72	129	120
lcl|NC_030673.1_cds_XP_017604111.1_30266	0	0	155	112	214	205
lcl|NC_030673.1_cds_XP_017605976.1_30267	0	0	1	0	4	0
lcl|NC_030673.1_cds_XP_017603915.1_30268	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605546.1_30269	2	1	1	3	2	0
lcl|NC_030673.1_cds_XP_017607578.1_30270	266	166	265	205	241	154
lcl|NC_030673.1_cds_XP_017602830.1_30272	538	323	204	213	300	149
lcl|NC_030673.1_cds_XP_017606971.1_30273	35	17	27	19	19	22
lcl|NC_030673.1_cds_XP_017606970.1_30274	31	24	44	15	34	17
lcl|NC_030673.1_cds_XP_017606664.1_30275	436	261	404	255	267	184
lcl|NC_030673.1_cds_XP_017605898.1_30279	24	8	23	22	7	2
lcl|NC_030673.1_cds_XP_017602787.1_30281	91	57	74	71	43	32
lcl|NC_030673.1_cds_XP_017606568.1_30283	1560	1012	960	612	1371	955
lcl|NC_030673.1_cds_XP_017606566.1_30284	88	76	124	74	105	73
lcl|NC_030673.1_cds_XP_017604112.1_30286	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017604113.1_30287	0	0	1	0	0	0
lcl|NC_030673.1_cds_XP_017605650.1_30288	29	21	23	42	2	5
lcl|NC_030673.1_cds_XP_017603463.1_30289	413	322	295	289	161	137
lcl|NC_030673.1_cds_XP_017607337.1_30290	2230	1291	2348	1609	1732	1156
lcl|NC_030673.1_cds_XP_017605024.1_30291	508	343	527	268	222	189
lcl|NC_030673.1_cds_XP_017605028.1_30292	453	288	475	271	201	161
lcl|NC_030673.1_cds_XP_017605026.1_30294	509	351	512	330	215	181
lcl|NC_030673.1_cds_XP_017605030.1_30296	2236	1216	1759	1178	2187	1988
lcl|NC_030673.1_cds_XP_017604115.1_30297	0	0	0	1	2	0
lcl|NC_030673.1_cds_XP_017603328.1_30298	351	211	162	181	237	145
lcl|NC_030673.1_cds_XP_017607501.1_30300	42	25	58	32	51	41
lcl|NC_030673.1_cds_XP_017607498.1_30301	39	23	53	30	32	32
lcl|NC_030673.1_cds_XP_017605413.1_30304	70	52	166	92	80	42
lcl|NC_030673.1_cds_XP_017606855.1_30306	35	21	28	18	25	23
lcl|NC_030673.1_cds_XP_017606851.1_30307	52	31	35	33	34	19
lcl|NC_030673.1_cds_XP_017607251.1_30311	275	189	345	250	254	190
lcl|NC_030673.1_cds_XP_017603977.1_30313	16	20	33	32	0	2
lcl|NC_030673.1_cds_XP_017607272.1_30319	194	123	226	157	146	90
lcl|NC_030673.1_cds_XP_017604116.1_30323	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017607368.1_30324	168	104	128	116	200	124
lcl|NC_030673.1_cds_XP_017605566.1_30326	4	3	6	7	16	10
lcl|NC_030673.1_cds_XP_017605262.1_30327	26	23	86	74	54	24
lcl|NC_030673.1_cds_XP_017602890.1_30328	75	52	64	72	94	59
lcl|NC_030673.1_cds_XP_017605083.1_30330	56	51	28	17	39	34
lcl|NC_030673.1_cds_XP_017603263.1_30332	53	35	65	33	77	51
lcl|NC_030673.1_cds_XP_017603424.1_30333	126	74	151	185	187	120
lcl|NC_030673.1_cds_XP_017603111.1_30334	11	8	15	6	52	45
lcl|NC_030673.1_cds_XP_017605743.1_30335	4	4	4	7	0	0
lcl|NC_030673.1_cds_XP_017602956.1_30336	42	26	29	15	40	24
lcl|NC_030673.1_cds_XP_017602955.1_30337	43	38	31	21	48	25
lcl|NC_030673.1_cds_XP_017602789.1_30339	273	152	160	73	251	162
lcl|NC_030673.1_cds_XP_017604117.1_30340	4	1	5	1	0	0
lcl|NC_030673.1_cds_XP_017603716.1_30341	14	13	15	22	29	20
lcl|NC_030673.1_cds_XP_017603715.1_30342	0	5	2	3	1	3
lcl|NC_030673.1_cds_XP_017603701.1_30343	20	29	34	51	10	12
lcl|NC_030673.1_cds_XP_017602837.1_30344	117	97	116	95	94	44
lcl|NC_030673.1_cds_XP_017605093.1_30345	59	31	41	41	22	10
lcl|NC_030673.1_cds_XP_017604119.1_30346	47	27	20	10	0	0
lcl|NC_030673.1_cds_XP_017604120.1_30347	3	6	2	3	0	0
lcl|NC_030673.1_cds_XP_017604121.1_30348	14	8	6	7	0	0
lcl|NC_030673.1_cds_XP_017605251.1_30349	92	27	45	87	61	18
lcl|NC_030673.1_cds_XP_017605485.1_30351	2	1	4	0	2	1
lcl|NC_030673.1_cds_XP_017650172.1_30352	30	16	22	83	8	9
lcl|NC_030673.1_cds_XP_017603969.1_30353	1	3	4	5	1	0
lcl|NC_030673.1_cds_XP_017603964.1_30354	62	42	33	42	22	11
lcl|NC_030673.1_cds_XP_017605480.1_30355	116	38	73	61	12	15
lcl|NC_030673.1_cds_XP_017603710.1_30356	75	61	276	209	183	126
lcl|NC_030673.1_cds_XP_017606965.1_30358	519	269	464	356	368	243
lcl|NC_030673.1_cds_XP_017603841.1_30359	47	12	41	38	56	25
lcl|NC_030673.1_cds_XP_017603842.1_30360	4	10	6	6	1	4
lcl|NC_030673.1_cds_XP_017607460.1_30361	14	10	15	12	11	16
lcl|NC_030673.1_cds_XP_017607459.1_30362	69	48	145	112	149	89
lcl|NC_030673.1_cds_XP_017603937.1_30363	15	17	29	10	20	21
lcl|NC_030673.1_cds_XP_017605052.1_30364	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605053.1_30368	1	0	0	2	3	1
lcl|NC_030673.1_cds_XP_017605700.1_30369	2	3	5	3	8	5
lcl|NC_030673.1_cds_XP_017604122.1_30370	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605978.1_30371	14	9	13	9	10	9
lcl|NC_030673.1_cds_XP_017605429.1_30372	4	1	0	1	3	4
lcl|NC_030673.1_cds_XP_017603351.1_30373	121	89	135	190	196	74
lcl|NC_030673.1_cds_XP_017602798.1_30374	177	124	152	143	152	79
lcl|NC_030673.1_cds_XP_017604124.1_30375	0	1	0	0	0	0
lcl|NC_030673.1_cds_XP_017603537.1_30376	124	82	111	121	114	62
lcl|NC_030673.1_cds_XP_017606077.1_30377	809	522	687	353	516	488
lcl|NC_030673.1_cds_XP_017603084.1_30378	55	45	18	11	5	6
lcl|NC_030673.1_cds_XP_017603982.1_30380	26	15	23	24	20	19
lcl|NC_030673.1_cds_XP_017606116.1_30381	1	0	0	2	0	0
lcl|NC_030673.1_cds_XP_017604125.1_30382	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606093.1_30383	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017603427.1_30384	47	30	53	74	44	37
lcl|NC_030673.1_cds_XP_017605531.1_30386	68	34	10	4	19	16
lcl|NC_030673.1_cds_XP_017604126.1_30387	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605044.1_30388	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606610.1_30389	317	201	212	143	420	259
lcl|NC_030673.1_cds_XP_017606611.1_30390	12	4	19	11	25	16
lcl|NC_030673.1_cds_XP_017604127.1_30391	1	0	0	2	6	4
lcl|NC_030673.1_cds_XP_017605939.1_30392	1	0	0	0	1	1
lcl|NC_030673.1_cds_XP_017607436.1_30393	342	204	384	312	587	318
lcl|NC_030673.1_cds_XP_017607625.1_30394	612	448	605	562	960	471
lcl|NC_030673.1_cds_XP_017604128.1_30395	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017605364.1_30396	21	6	14	5	11	12
lcl|NC_030673.1_cds_XP_017606647.1_30397	198	118	169	163	269	207
lcl|NC_030673.1_cds_XP_017606646.1_30398	250	175	380	259	261	211
lcl|NC_030673.1_cds_XP_017606167.1_30399	1399	1119	1710	1634	1769	1139
lcl|NC_030673.1_cds_XP_017606166.1_30400	248	162	185	125	129	86
lcl|NC_030673.1_cds_XP_017606165.1_30401	259	163	200	120	146	115
lcl|NC_030673.1_cds_XP_017604129.1_30402	0	0	1	0	0	1
lcl|NC_030673.1_cds_XP_017606346.1_30403	12	3	5	5	5	2
lcl|NC_030673.1_cds_XP_017606349.1_30404	143	98	200	155	178	128
lcl|NC_030673.1_cds_XP_017606347.1_30406	399	259	327	303	170	116
lcl|NC_030673.1_cds_XP_017603742.1_30407	0	0	0	1	3	1
lcl|NC_030673.1_cds_XP_017605768.1_30408	3	0	4	2	1	0
lcl|NC_030673.1_cds_XP_017603502.1_30409	70	50	54	47	58	62
lcl|NC_030673.1_cds_XP_017604131.1_30411	0	3	2	2	1	0
lcl|NC_030673.1_cds_XP_017606155.1_30412	268	141	205	176	157	119
lcl|NC_030673.1_cds_XP_017606153.1_30413	96	46	63	37	37	27
lcl|NC_030673.1_cds_XP_017607175.1_30414	83	49	86	85	160	100
lcl|NC_030673.1_cds_XP_017607176.1_30415	47	37	79	63	127	74
lcl|NC_030673.1_cds_XP_017606524.1_30416	54	67	71	57	37	24
lcl|NC_030673.1_cds_XP_017606526.1_30417	53	24	33	27	61	54
lcl|NC_030673.1_cds_XP_017605864.1_30418	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604132.1_30419	4	1	0	0	0	1
lcl|NC_030673.1_cds_XP_017607044.1_30420	888	569	619	379	727	567
lcl|NC_030673.1_cds_XP_017605410.1_30421	4	2	14	22	12	9
lcl|NC_030673.1_cds_XP_017602927.1_30424	161	75	107	91	1	1
lcl|NC_030673.1_cds_XP_017605851.1_30428	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604133.1_30429	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603963.1_30430	352	201	283	184	134	112
lcl|NC_030673.1_cds_XP_017604134.1_30431	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606648.1_30432	517	279	626	351	367	254
lcl|NC_030673.1_cds_XP_017603930.1_30434	39	34	40	27	53	28
lcl|NC_030673.1_cds_XP_017606318.1_30436	352	219	310	247	367	224
lcl|NC_030673.1_cds_XP_017602835.1_30438	107	75	149	92	169	120
lcl|NC_030673.1_cds_XP_017605555.1_30439	6	2	3	6	0	0
lcl|NC_030673.1_cds_XP_017603248.1_30440	134	80	16	19	107	120
lcl|NC_030673.1_cds_XP_017605037.1_30441	39	38	41	41	39	35
lcl|NC_030673.1_cds_XP_017606000.1_30442	4	1	30	13	9	7
lcl|NC_030673.1_cds_XP_017605487.1_30443	22	14	5	9	9	4
lcl|NC_030673.1_cds_XP_017603736.1_30445	67	65	67	108	36	18
lcl|NC_030673.1_cds_XP_017607110.1_30446	1360	885	1286	1044	811	607
lcl|NC_030673.1_cds_XP_017602939.1_30448	83	74	74	80	36	23
lcl|NC_030673.1_cds_XP_017607186.1_30451	180	131	216	144	179	98
lcl|NC_030673.1_cds_XP_017605018.1_30453	24	24	28	30	24	10
lcl|NC_030673.1_cds_XP_017650135.1_30454	122	69	126	136	73	65
lcl|NC_030673.1_cds_XP_017606856.1_30455	561	380	466	327	471	373
lcl|NC_030673.1_cds_XP_017603601.1_30456	2	5	11	11	33	19
lcl|NC_030673.1_cds_XP_017607405.1_30458	58	51	69	94	59	33
lcl|NC_030673.1_cds_XP_017603139.1_30459	53	29	61	73	51	36
lcl|NC_030673.1_cds_XP_017603169.1_30462	70	44	43	86	103	67
lcl|NC_030673.1_cds_XP_017603245.1_30463	16	9	34	34	22	13
lcl|NC_030673.1_cds_XP_017607357.1_30464	135	103	161	149	155	100
lcl|NC_030673.1_cds_XP_017602819.1_30465	97	77	61	45	36	43
lcl|NC_030673.1_cds_XP_017604136.1_30467	1	0	4	1	4	1
lcl|NC_030673.1_cds_XP_017605801.1_30469	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606106.1_30470	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604139.1_30471	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606044.1_30472	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017607350.1_30473	1344	1023	2267	1496	2087	1373
lcl|NC_030673.1_cds_XP_017604140.1_30474	0	1	0	0	0	0
lcl|NC_030673.1_cds_XP_017602826.1_30475	137	93	118	106	146	107
lcl|NC_030673.1_cds_XP_017603504.1_30476	104	78	138	116	164	82
lcl|NC_030673.1_cds_XP_017607375.1_30477	31	17	30	25	12	16
lcl|NC_030673.1_cds_XP_017607378.1_30478	35	11	28	22	15	23
lcl|NC_030673.1_cds_XP_017603863.1_30481	2	7	11	10	27	20
lcl|NC_030673.1_cds_XP_017605828.1_30483	0	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017603871.1_30484	0	0	3	0	2	1
lcl|NC_030673.1_cds_XP_017606061.1_30485	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017607419.1_30486	308	262	350	276	750	392
lcl|NC_030673.1_cds_XP_017605567.1_30487	0	1	0	0	0	1
lcl|NC_030673.1_cds_XP_017605389.1_30488	28	9	35	36	28	11
lcl|NC_030673.1_cds_XP_017606528.1_30489	551	369	494	345	397	325
lcl|NC_030673.1_cds_XP_017605813.1_30490	61	53	5	7	40	21
lcl|NC_030673.1_cds_XP_017606578.1_30492	1290	919	997	1133	672	442
lcl|NC_030673.1_cds_XP_017605714.1_30493	17	11	2	5	1	5
lcl|NC_030673.1_cds_XP_017604141.1_30494	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603260.1_30495	822	485	571	679	1007	755
lcl|NC_030673.1_cds_XP_017603554.1_30498	25	23	17	24	13	11
lcl|NC_030673.1_cds_XP_017603552.1_30499	37	28	40	42	36	16
lcl|NC_030673.1_cds_XP_017607093.1_30500	329	233	309	308	336	198
lcl|NC_030673.1_cds_XP_017604142.1_30501	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604144.1_30502	0	0	0	1	3	3
lcl|NC_030673.1_cds_XP_017604145.1_30503	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604146.1_30504	0	0	0	1	2	1
lcl|NC_030673.1_cds_XP_017602984.1_30506	91	69	44	36	26	10
lcl|NC_030673.1_cds_XP_017650028.1_30509	219	101	211	160	116	87
lcl|NC_030673.1_cds_XP_017607601.1_30513	84	34	20	14	0	1
lcl|NC_030673.1_cds_XP_017602858.1_30516	363	266	171	145	186	146
lcl|NC_030673.1_cds_XP_017606861.1_30517	581	381	572	484	449	363
lcl|NC_030673.1_cds_XP_017605101.1_30518	179	113	237	93	97	42
lcl|NC_030673.1_cds_XP_017607161.1_30519	38	26	36	32	26	14
lcl|NC_030673.1_cds_XP_017605006.1_30520	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605433.1_30521	26	10	11	15	0	0
lcl|NC_030673.1_cds_XP_017605434.1_30522	13	5	4	4	0	0
lcl|NC_030673.1_cds_XP_017604149.1_30523	0	0	0	1	0	0
lcl|NC_030673.1_cds_XP_017604033.1_30524	32	17	58	38	120	62
lcl|NC_030673.1_cds_XP_017603788.1_30525	118	88	102	76	128	121
lcl|NC_030673.1_cds_XP_017606918.1_30527	56	43	77	78	54	36
lcl|NC_030673.1_cds_XP_017606919.1_30528	69755	48840	11874	15017	70100	34188
lcl|NC_030673.1_cds_XP_017607649.1_30529	69	40	95	69	122	83
lcl|NC_030673.1_cds_XP_017603827.1_30530	1155	932	1438	1702	464	187
lcl|NC_030673.1_cds_XP_017650201.1_30531	266	163	231	209	113	65
lcl|NC_030673.1_cds_XP_017650202.1_30532	0	0	0	1	0	0
lcl|NC_030673.1_cds_XP_017604150.1_30533	25	27	50	18	18	19
lcl|NC_030673.1_cds_XP_017607507.1_30534	49	35	40	49	152	89
lcl|NC_030673.1_cds_XP_017607508.1_30535	96	62	97	83	179	111
lcl|NC_030673.1_cds_XP_017605141.1_30537	3	0	0	0	1	0
lcl|NC_030673.1_cds_XP_017605221.1_30538	45	38	121	130	77	36
lcl|NC_030673.1_cds_XP_017650036.1_30540	308	157	82	125	111	74
lcl|NC_030673.1_cds_XP_017650034.1_30541	285	147	253	213	128	83
lcl|NC_030673.1_cds_XP_017604151.1_30543	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604152.1_30544	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017606109.1_30545	836	1184	548	142	923	869
lcl|NC_030673.1_cds_XP_017604153.1_30546	0	0	0	0	4	2
lcl|NC_030673.1_cds_XP_017604155.1_30547	37	15	18	22	23	28
lcl|NC_030673.1_cds_XP_017604156.1_30548	7	1	2	0	0	1
lcl|NC_030673.1_cds_XP_017604157.1_30549	60	21	206	87	10	5
lcl|NC_030673.1_cds_XP_017605823.1_30550	19	18	10	3	1	0
lcl|NC_030673.1_cds_XP_017604158.1_30551	10	5	23	19	2	3
lcl|NC_030673.1_cds_XP_017605947.1_30552	12	8	6	6	1	0
lcl|NC_030673.1_cds_XP_017604160.1_30554	13	6	36	14	4	5
lcl|NC_030673.1_cds_XP_017606046.1_30555	65	53	88	61	5	2
lcl|NC_030673.1_cds_XP_017603119.1_30556	26	14	58	37	0	0
lcl|NC_030673.1_cds_XP_017604161.1_30557	75	50	192	194	1	1
lcl|NC_030673.1_cds_XP_017606247.1_30559	3	1	1	0	0	0
lcl|NC_030673.1_cds_XP_017606246.1_30560	13	18	26	13	7	10
lcl|NC_030673.1_cds_XP_017604162.1_30561	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604163.1_30562	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604166.1_30564	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604167.1_30565	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604170.1_30568	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604171.1_30569	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017604173.1_30571	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017603205.1_30576	89	58	102	56	114	107
lcl|NC_030673.1_cds_XP_017607199.1_30578	20	15	21	24	23	15
lcl|NC_030673.1_cds_XP_017607200.1_30579	47	26	50	74	33	34
lcl|NC_030673.1_cds_XP_017605099.1_30580	436	239	180	196	618	449
lcl|NC_030673.1_cds_XP_017607482.1_30581	80	63	66	70	55	31
lcl|NC_030673.1_cds_XP_017607591.1_30583	44	27	66	61	56	32
lcl|NC_030673.1_cds_XP_017607590.1_30584	36	23	44	48	33	21
lcl|NC_030673.1_cds_XP_017605514.1_30585	6	3	9	10	14	14
lcl|NC_030673.1_cds_XP_017603064.1_30586	664	434	686	523	752	486
lcl|NC_030673.1_cds_XP_017606426.1_30587	101	49	206	98	928	761
lcl|NC_030673.1_cds_XP_017603580.1_30592	24	11	43	37	71	44
lcl|NC_030673.1_cds_XP_017605116.1_30594	63	35	50	121	34	21
lcl|NC_030673.1_cds_XP_017650022.1_30595	92	77	65	56	53	43
lcl|NC_030673.1_cds_XP_017603498.1_30598	251	200	293	226	280	135
lcl|NC_030673.1_cds_XP_017603195.1_30599	121	77	135	111	121	87
lcl|NC_030673.1_cds_XP_017602959.1_30600	163	105	116	76	30	33
lcl|NC_030673.1_cds_XP_017605468.1_30602	56	32	19	32	102	51
lcl|NC_030673.1_cds_XP_017604180.1_30603	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017605293.1_30604	3	6	6	5	5	3
lcl|NC_030673.1_cds_XP_017603859.1_30605	2250	1621	715	1109	2393	1355
lcl|NC_030673.1_cds_XP_017606069.1_30606	0	0	0	0	0	0
lcl|NC_030673.1_cds_XP_017650221.1_30607	34	14	17	9	25	22
lcl|NC_030673.1_cds_XP_017603432.1_30609	57	50	51	48	26	26
lcl|NC_030673.1_cds_XP_017607194.1_30610	69	23	45	25	54	28
lcl|NC_030673.1_cds_XP_017607195.1_30611	17	20	37	39	22	12
lcl|NC_030673.1_cds_XP_017603330.1_30612	485	228	132	87	523	396
lcl|NC_030673.1_cds_XP_017605489.1_30613	5	2	43	29	31	21
lcl|NC_030673.1_cds_XP_017604181.1_30615	4	1	1	3	1	0
lcl|NC_030673.1_cds_XP_017605467.1_30616	14	8	24	26	12	6
lcl|NC_030673.1_cds_XP_017604182.1_30617	4	3	10	7	4	4
lcl|NC_030673.1_cds_XP_017602838.1_30618	126	65	305	376	157	82
