GENE	G_arboreum%G_a_rep1	G_arboreum%G_a_rep2	G_arboreum_x_raimondii%G_HH_rep1	G_arboreum_x_raimondii%G_HH_rep2	G_raimondii%G_r_rep1	G_raimondii%G_r_rep2
lcl|NC_030664.1_cds_XP_017642922.1_228	283	129	68	26	120	92
lcl|NC_030664.1_cds_XP_017640369.1_229	332	205	139	113	119	69
lcl|NC_030664.1_cds_XP_017627828.1_230	73	46	44	56	57	22
lcl|NC_030664.1_cds_XP_017606262.1_231	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606148.1_232	94	58	89	62	41	35
lcl|NC_030664.1_cds_XP_017643713.1_233	1	0	8	13	3	8
lcl|NC_030664.1_cds_XP_017648510.1_234	125	64	302	259	415	249
lcl|NC_030664.1_cds_XP_017620092.1_235	36	25	62	34	61	61
lcl|NC_030664.1_cds_XP_017627060.1_236	47	36	104	58	452	222
lcl|NC_030664.1_cds_XP_017647914.1_237	4	1	14	4	0	0
lcl|NC_030664.1_cds_XP_017617222.1_238	36	27	21	17	27	30
lcl|NC_030664.1_cds_XP_017629280.1_239	8	9	16	16	20	21
lcl|NC_030664.1_cds_XP_017605455.1_241	224	146	269	150	258	176
lcl|NC_030664.1_cds_XP_017605462.1_242	198	143	207	136	185	158
lcl|NC_030664.1_cds_XP_017605473.1_243	25	16	31	20	37	27
lcl|NC_030664.1_cds_XP_017646094.1_244	13	7	8	5	6	2
lcl|NC_030664.1_cds_XP_017627757.1_245	183	129	55	49	130	80
lcl|NC_030664.1_cds_XP_017644688.1_246	0	0	0	0	0	1
lcl|NC_030664.1_cds_XP_017644668.1_247	0	0	0	0	1	2
lcl|NC_030664.1_cds_XP_017614720.1_249	84	66	116	63	95	80
lcl|NC_030664.1_cds_XP_017623119.1_250	316	241	449	375	142	68
lcl|NC_030664.1_cds_XP_017624759.1_251	39	24	139	51	66	35
lcl|NC_030664.1_cds_XP_017628744.1_252	24	19	46	34	23	11
lcl|NC_030664.1_cds_XP_017647930.1_253	2	2	3	3	0	0
lcl|NC_030664.1_cds_XP_017640354.1_254	186	98	92	87	119	79
lcl|NC_030664.1_cds_XP_017610459.1_255	136	110	163	161	156	116
lcl|NC_030664.1_cds_XP_017625462.1_256	15	8	11	20	26	17
lcl|NC_030664.1_cds_XP_017644476.1_257	1	1	0	0	4	3
lcl|NC_030664.1_cds_XP_017626220.1_258	102	70	40	35	112	77
lcl|NC_030664.1_cds_XP_017625804.1_260	106	66	63	102	72	49
lcl|NC_030664.1_cds_XP_017614560.1_262	18	13	24	29	29	22
lcl|NC_030664.1_cds_XP_017614566.1_263	25	22	30	27	22	25
lcl|NC_030664.1_cds_XP_017645418.1_265	236	185	184	207	298	140
lcl|NC_030664.1_cds_XP_017644586.1_266	5	2	5	1	5	2
lcl|NC_030664.1_cds_XP_017610402.1_267	584	398	310	344	346	277
lcl|NC_030664.1_cds_XP_017606368.1_268	108	85	62	68	36	30
lcl|NC_030664.1_cds_XP_017606384.1_270	122	79	67	72	51	30
lcl|NC_030664.1_cds_XP_017606454.1_271	281	184	243	252	180	156
lcl|NC_030664.1_cds_XP_017607725.1_272	136	81	96	129	104	71
lcl|NC_030664.1_cds_XP_017647290.1_273	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017639920.1_274	23	13	30	28	2	1
lcl|NC_030664.1_cds_XP_017645907.1_275	80	38	52	143	14	11
lcl|NC_030664.1_cds_XP_017623259.1_276	416	229	141	192	180	165
lcl|NC_030664.1_cds_XP_017607726.1_277	283	154	205	116	175	124
lcl|NC_030664.1_cds_XP_017628578.1_278	63	37	35	25	29	15
lcl|NC_030664.1_cds_XP_017614852.1_280	524	290	668	590	337	200
lcl|NC_030664.1_cds_XP_017614842.1_281	1	0	1	0	0	0
lcl|NC_030664.1_cds_XP_017642620.1_282	1	0	2	1	1	2
lcl|NC_030664.1_cds_XP_017642472.1_283	31	22	36	31	38	24
lcl|NC_030664.1_cds_XP_017642292.1_284	1	1	16	16	18	7
lcl|NC_030664.1_cds_XP_017603779.1_293	316	225	432	249	464	391
lcl|NC_030664.1_cds_XP_017610582.1_295	260	174	233	205	138	116
lcl|NC_030664.1_cds_XP_017635569.1_297	79	43	65	49	65	36
lcl|NC_030664.1_cds_XP_017603682.1_298	546	362	485	273	772	465
lcl|NC_030664.1_cds_XP_017614634.1_299	182	125	136	158	117	107
lcl|NC_030664.1_cds_XP_017629784.1_301	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017629802.1_302	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017615063.1_303	80	63	64	38	25	12
lcl|NC_030664.1_cds_XP_017610276.1_305	234	136	223	160	300	196
lcl|NC_030664.1_cds_XP_017608419.1_306	388	209	426	377	275	175
lcl|NC_030664.1_cds_XP_017628611.1_307	21	11	27	13	20	20
lcl|NC_030664.1_cds_XP_017623353.1_308	70	42	56	58	58	46
lcl|NC_030664.1_cds_XP_017629821.1_309	0	1	0	0	1	0
lcl|NC_030664.1_cds_XP_017625562.1_310	41	29	48	59	42	37
lcl|NC_030664.1_cds_XP_017629832.1_312	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639573.1_313	198	159	165	162	203	99
lcl|NC_030664.1_cds_XP_017629850.1_314	1	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017647757.1_315	0	0	3	0	1	0
lcl|NC_030664.1_cds_XP_017624788.1_316	56	50	59	50	63	54
lcl|NC_030664.1_cds_XP_017626534.1_318	112	72	94	86	11	13
lcl|NC_030664.1_cds_XP_017640967.1_319	144	80	60	77	170	78
lcl|NC_030664.1_cds_XP_017607479.1_320	202	107	93	66	74	47
lcl|NC_030664.1_cds_XP_017607496.1_322	140	89	351	201	284	203
lcl|NC_030664.1_cds_XP_017609126.1_323	53	20	155	168	123	71
lcl|NC_030664.1_cds_XP_017629888.1_325	0	0	0	0	0	0
