GENE	G_arboreum	G_arboreum+N	G_raimondii	G_raimondii+N	UNINFORMATIVE	UNINFORMATIVE+N	UNK	UNK+N
lcl|NC_030664.1_cds_XP_017624183.1_176	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645369.1_177	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017602790.1_178	0	0	0	0	0	0	5	0
lcl|NC_030664.1_cds_XP_017602778.1_179	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017606145.1_180	0	0	0	0	0	0	2	0
lcl|NC_030664.1_cds_XP_017640538.1_181	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017629715.1_182	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017640101.1_183	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644560.1_184	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017644515.1_185	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017639660.1_186	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017614086.1_187	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017642541.1_190	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017645661.1_191	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017604689.1_192	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017629724.1_195	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017609729.1_196	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017625874.1_197	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622527.1_198	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017622519.1_199	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017636328.1_200	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017636397.1_201	0	0	0	0	0	0	0	0
lcl|NC_030664.1_cds_XP_017604393.1_203	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017604454.1_207	0	0	0	0	0	0	1	0
lcl|NC_030664.1_cds_XP_017604447.1_208	0	0	0	0	0	0	1	0
